title,xlabel,start,end,size,dtick,,,
Parcel Area,Square Feet,1,15000,500,500,,,
,,,,,,,,
xbins,90024,90025,90034,90035,90049,90064,90066,Los Angeles
1,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,71
1000,0,0,0,0,0,0,0,30
1500,0,0,0,0,0,0,0,75
2000,0,0,0,0,1,0,0,318
2500,0,0,1,8,0,3,76,1264
3000,0,0,5,12,0,12,50,1776
3500,0,0,5,11,5,19,40,3347
4000,0,0,16,16,1,24,88,3775
4500,0,4,22,15,3,31,260,5754
5000,11,39,477,53,41,276,1100,19159
5500,45,267,479,220,303,804,1408,31252
6000,71,177,453,367,179,792,2086,38172
6500,321,326,741,654,136,1544,938,43324
7000,433,583,322,651,278,904,769,40237
7500,260,196,217,326,326,374,689,25630
8000,178,30,202,182,250,238,387,15557
8500,196,31,114,126,163,197,200,11717
9000,125,16,92,50,168,235,109,6901
9500,115,3,64,35,127,154,119,4642
10000,79,3,42,36,92,97,163,3743
10500,78,0,47,27,65,71,42,3032
11000,61,2,31,17,43,49,41,2338
11500,63,0,9,11,34,45,30,1913
12000,45,0,11,6,34,37,19,1460
12500,28,0,14,3,20,41,24,1139
13000,26,0,13,1,30,12,15,894
13500,28,0,8,0,24,9,11,907
14000,30,0,14,1,11,17,10,662
14500,25,0,1,1,7,11,10,573
15000,13,0,5,1,10,9,4,613
15500,136,0,22,7,36,46,74,4909
,,,,,,,,
metric,90024,90025,90034,90035,90049,90064,90066,Los Angeles
median,7620,6528,6195,6529,7467,6300,5807,6374 
average,8735,6406,6918,6722,7938,6874,6285,6960 


